name,element,position,team_name,opponent_name,GW,season,total_points_last3,total_points_last5,minutes_last3,minutes_last5,goals_scored_last3,assists_last3,ict_index_last3,team_goals_last3,team_points_last3,opp_goals_last3,opp_points_last3,opp_conceded_last3_true,fixture_1_5_fdr
Joelinton Cássio Apolinário de Lira,490,MID,Newcastle,Sunderland,31,2025-26,2.3333333333333335,1.4,67.66666666666667,46.6,0.0,0.3333333333333333,3.5666666666666664,1.0,35.333333333333336,0.3333333333333333,31.0,0.5,2.0
John McGinn,54,MID,Aston Villa,West Ham,31,2025-26,0.6666666666666666,0.4,20.0,12.0,0.0,0.0,0.766666666666666,0.6666666666666666,19.666666666666668,0.6666666666666666,35.0,0.5,2.0
John Ruddy,753,GK,Newcastle,Sunderland,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.333333333333336,0.3333333333333333,31.0,0.5,2.0
John Victor Maciel Furtado,715,GK,Nott'm Forest,Spurs,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,30.333333333333332,0.6666666666666666,23.0,2.0,3.0
Jonah Kusi-Asare,737,FWD,Fulham,Burnley,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,25.666666666666668,1.0,2.0
Jordan Beyer,194,DEF,Burnley,Fulham,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.666666666666668,0.0,28.0,0.5,3.0
Jordan Henderson,124,MID,Brentford,Leeds,31,2025-26,2.0,1.8,56.333333333333336,50.4,0.0,0.0,1.7000000000000002,0.6666666666666666,29.666666666666668,0.0,25.333333333333332,0.5,3.0
Jordan Pickford,287,GK,Everton,Chelsea,31,2025-26,3.3333333333333335,2.4,90.0,90.0,0.0,0.0,2.3333333333333335,0.6666666666666666,37.333333333333336,1.3333333333333333,28.666666666666668,1.0,3.0
Jorge Cuenca Barreno,321,DEF,Fulham,Burnley,31,2025-26,0.3333333333333333,0.4,0.3333333333333333,0.6,0.0,0.0,0.3,0.0,28.0,0.0,25.666666666666668,1.0,2.0
Jorrel Hato,672,DEF,Chelsea,Everton,31,2025-26,1.0,0.6,57.333333333333336,45.4,0.0,0.0,0.8333333333333334,1.3333333333333333,28.666666666666668,0.6666666666666666,37.333333333333336,1.0,3.0
Josh Acheampong,233,DEF,Chelsea,Everton,31,2025-26,0.0,0.2,0.0,15.8,0.0,0.0,0.0,1.3333333333333333,28.666666666666668,0.6666666666666666,37.333333333333336,1.0,3.0
Josh Cullen,205,MID,Burnley,Fulham,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.666666666666668,0.0,28.0,0.5,3.0
Josh Dasilva,748,MID,Brentford,Leeds,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,29.666666666666668,0.0,25.333333333333332,0.5,3.0
Josh King,335,MID,Fulham,Burnley,31,2025-26,2.3333333333333335,1.6,46.0,33.6,0.0,0.0,2.3666666666666667,0.0,28.0,0.0,25.666666666666668,1.0,2.0
Josh Laurent,209,MID,Burnley,Fulham,31,2025-26,1.6666666666666667,1.6,50.0,63.4,0.0,0.0,2.6333333333333333,0.0,25.666666666666668,0.0,28.0,0.5,3.0
Joshua Zirkzee,466,FWD,Man Utd,Bournemouth,31,2025-26,0.6666666666666666,0.6,5.666666666666667,5.0,0.0,0.0,2.1666666666666665,1.3333333333333333,28.0,0.0,42.666666666666664,0.0,4.0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,673,MID,Spurs,Nott'm Forest,31,2025-26,2.0,2.2,60.0,61.2,0.0,0.0,1.8666666666666665,0.6666666666666666,23.0,0.6666666666666666,30.333333333333332,1.0,2.0
João Pedro Ferreira da Silva,518,MID,Nott'm Forest,Spurs,31,2025-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,30.333333333333332,0.6666666666666666,23.0,2.0,3.0
